"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4","Nazwa atrybutu 5","Wartości atrybutu 5","Nazwa atrybutu 6","Wartości atrybutu 6"
"","variation","Kalendarz ścienny listwowany","id:1007","1286.4","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","400"
"","variation","Kalendarz ścienny listwowany","id:1007","1420.8","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","500"
"","variation","Kalendarz ścienny listwowany","id:1007","2035.2","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","brak","Nakład","1000"
"","variation","Kalendarz ścienny listwowany","id:1007","806.4","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","100"
"","variation","Kalendarz ścienny listwowany","id:1007","1248","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","200"
"","variation","Kalendarz ścienny listwowany","id:1007","1497.6","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","250"
"","variation","Kalendarz ścienny listwowany","id:1007","1670.4","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","300"
"","variation","Kalendarz ścienny listwowany","id:1007","2054.4","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","400"
"","variation","Kalendarz ścienny listwowany","id:1007","2380.8","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","500"
"","variation","Kalendarz ścienny listwowany","id:1007","3955.2","Format","A2 (594 x 420 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","Folia mat jednostronnie","Listwy","kpl. srebrnych listew z zawieszką","Nakład","1000"
"","variation","Kalendarz ścienny listwowany","id:1007","1056","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","100"
"","variation","Kalendarz ścienny listwowany","id:1007","1228.8","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","200"
"","variation","Kalendarz ścienny listwowany","id:1007","1363.2","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","250"
"","variation","Kalendarz ścienny listwowany","id:1007","1497.6","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","300"
"","variation","Kalendarz ścienny listwowany","id:1007","1632","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","400"
"","variation","Kalendarz ścienny listwowany","id:1007","1804.8","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","500"
"","variation","Kalendarz ścienny listwowany","id:1007","2726.4","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","1000"
"","variation","Kalendarz ścienny listwowany","id:1007","1267.2","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","kpl. srebrnych listew z zawieszką","Nakład","100"
"","variation","Kalendarz ścienny listwowany","id:1007","1651.2","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","kpl. srebrnych listew z zawieszką","Nakład","200"
"","variation","Kalendarz ścienny listwowany","id:1007","1891.2","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","kpl. srebrnych listew z zawieszką","Nakład","250"
"","variation","Kalendarz ścienny listwowany","id:1007","2131.2","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","kpl. srebrnych listew z zawieszką","Nakład","300"
"","variation","Kalendarz ścienny listwowany","id:1007","2476.8","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","kpl. srebrnych listew z zawieszką","Nakład","400"
"","variation","Kalendarz ścienny listwowany","id:1007","2860.8","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","kpl. srebrnych listew z zawieszką","Nakład","500"
"","variation","Kalendarz ścienny listwowany","id:1007","4838.4","Format","B1 (680 x 980 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","kpl. srebrnych listew z zawieszką","Nakład","1000"
"","variation","Kalendarz ścienny listwowany","id:1007","518.4","Format","B2 (680 x 480 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","100"
"","variation","Kalendarz ścienny listwowany","id:1007","806.4","Format","B2 (680 x 480 mm)","Zadruk","Jednostronny","Papier","Kreda błysk 170 g","Uszlachetnienie","brak","Listwy","brak","Nakład","200"
