"ID","Typ","Nazwa","Element nadrzędny","Cena","Nazwa atrybutu 1","Wartości atrybutu 1","Nazwa atrybutu 2","Wartości atrybutu 2","Nazwa atrybutu 3","Wartości atrybutu 3","Nazwa atrybutu 4","Wartości atrybutu 4"
"","variation","Kalendarz trójdzielny","id:1010","4844.61","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","6395.96","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","7817.7","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","9080.4","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","696.44","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1122.86","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1969.26","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2715.03","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","3468.17","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","4123.1","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","4844.61","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","6395.96","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","7817.7","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","9080.4","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z płaską główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","810.175","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1274.55","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","2307.36","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","3278.65","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","4306.87","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","5299.43","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","6284.98","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","8234.69","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","10163","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","12089","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","810.175","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1274.55","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","2307.36","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","3278.65","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","4306.87","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","5299.43","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","6284.98","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","8234.69","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","10163","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","12089","Kalendarz trójdzielny","maxi","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","724.5","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","25"
"","variation","Kalendarz trójdzielny","id:1010","1177.6","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","50"
"","variation","Kalendarz trójdzielny","id:1010","1989.5","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","100"
"","variation","Kalendarz trójdzielny","id:1010","2892.25","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","150"
"","variation","Kalendarz trójdzielny","id:1010","3821.45","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","200"
"","variation","Kalendarz trójdzielny","id:1010","4304.45","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","250"
"","variation","Kalendarz trójdzielny","id:1010","5327.95","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","300"
"","variation","Kalendarz trójdzielny","id:1010","6908.05","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","400"
"","variation","Kalendarz trójdzielny","id:1010","8606.6","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","500"
"","variation","Kalendarz trójdzielny","id:1010","10028","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia połysk jednostronnie","Nakład","600"
"","variation","Kalendarz trójdzielny","id:1010","724.5","Kalendarz trójdzielny","standard","Kalendarz z główką - wybierz","z wypukłą główką","Uszlachetnianie","Folia mat jednostronnie","Nakład","25"
